"","logFC","logCPM","PValue","FDR"
"YCR005C",2.43213163638788,8.00211378882328,4.12977245498594e-248,4.79134580708858e-246
"YBR010W",1.33668163247314,9.12587402992716,5.56599702301865e-248,6.33346238176949e-246
"YPR036W-A",1.38064615165741,9.03576339099477,1.77006775808619e-247,1.97613036313132e-245
"YDR345C",-0.513666449408347,11.6415808714946,6.09491069833142e-239,6.67844196333834e-237
"YPR145W",-1.29310350372198,9.32203583304936,1.85203523970358e-234,1.99245318424111e-232
"YPR149W",-1.7668563759891,8.0248272002518,6.17641357115418e-232,6.52604269652131e-230
"YAL061W",-2.24687240494446,7.4258106998049,4.40920301792594e-227,4.57706215036277e-225
"R0030W",1.21732223562527,9.26133498990629,1.36969107542266e-226,1.39732105056481e-224
"YIL053W",0.610109380084647,11.2187967299129,3.77024780432266e-226,3.78111123019953e-224
"YMR008C",-2.00048544295599,7.94312995129783,1.96718917472802e-223,1.93997639114428e-221
"YKL152C",-0.326317863934131,12.945276143429,1.46754423616718e-221,1.42351790908216e-219
"YBL003C",1.27329718433429,9.05616702968239,3.33534244488779e-217,3.18310020103243e-215
"YMR173W",-1.37482569564658,8.83974689216203,4.95283752324159e-209,4.65173644841595e-207
"YOR290C",-9.3153884102707,5.86950825512983,1.50595694807408e-206,1.39230425964912e-204
"YBR118W",-0.322529313675404,13.8014031179084,3.66021357457724e-206,3.3319205724267e-204
"YDL022W",-1.20318297082217,8.76970598229734,6.13753501766062e-196,5.50239313628756e-194
"YOL158C",-1.82729510214973,7.65088603502052,5.12181296358758e-183,4.52324885157428e-181
"YAR015W",-1.6374912073725,7.84111039230671,2.76550859936797e-180,2.40639917389122e-178
"YDR524W-C",2.11888864768265,7.88648617368133,4.42400077620618e-180,3.79374095548e-178
"YOL016C",-1.27242084922716,8.54793308838802,1.54786868693014e-174,1.30839128865223e-172
"YMR105C",-1.18053039056401,8.92464594413254,2.22482171715075e-173,1.85412254934944e-171
"YBR196C",-0.60352336881181,11.0058646611091,1.21355780749518e-172,9.97308548187357e-171
"YCL040W",-0.459643851851825,11.4278322394641,5.86150098219328e-167,4.75102757693666e-165
"YDR019C",-2.81742498709604,6.38246892665306,9.85720578014529e-167,7.88176845961077e-165
"YER056C",-1.49291394225109,8.04659996619936,2.80519626007256e-165,2.21311283611325e-163
"YNL031C",1.08951101467509,9.69756367415384,1.54498961639305e-164,1.20285573160495e-162
"YBR011C",0.701575668466745,10.2566398089338,3.40116109524941e-163,2.61359353254425e-161
"YLR350W",1.11263463016986,8.97502301160227,8.53684574638745e-160,6.47596362581725e-158
"YLR355C",-0.771691947381312,9.76868468802721,2.07505662786827e-157,1.55419114773374e-155
"YJR104C",-0.656970325242722,10.8036295764777,9.36956773497763e-157,6.92996653598283e-155
"YMR011W",-0.398581146725654,11.7609900200418,9.81072383425779e-157,7.16667320090165e-155
"YLR413W",-1.7042173675318,7.68688942995125,1.82373698708402e-154,1.31598192104587e-152
"YPR035W",-0.509887579163539,11.1480974807736,2.25325818499619e-154,1.6063287567015e-152
"YBR296C",-3.34506896507625,6.55101493160938,4.95616548510309e-154,3.49114656849464e-152
"YNL160W",-2.30180979527019,6.95313224971403,1.08560098130452e-150,7.55706000750454e-149
"YGR061C",-1.0704259117247,8.89086029611659,1.23793477506873e-149,8.51727914428099e-148
"YNL208W",-0.647955468942611,10.1528868316976,4.84210035397096e-143,3.29318480395933e-141
"YBR092C",-2.34782881829332,6.64384427126052,4.69652242465059e-142,3.15787763484745e-140
"YDR055W",-1.69012645034518,7.36424347469332,1.00403651127579e-137,6.67515060361671e-136
"YLL050C",0.984633544906796,9.08528177685811,1.14302045822427e-137,7.51472450145888e-136
"YKL056C",-0.490209391193086,10.9089086346224,1.19171031105164e-134,7.74873616537642e-133
"YPL019C",-1.67130899117341,7.48386876066344,1.97752204792072e-134,1.27184760408118e-132
"YDL039C",-2.2764791089914,6.52891693265632,9.55736455764608e-132,6.08074474060128e-130
"YLL024C",-0.611877683480982,10.7855004086482,1.94463970920678e-124,1.22408863397623e-122
"YHR136C",-4.12651145669044,5.26150395470918,5.0809699471797e-124,3.16464201868024e-122
"YLR180W",-0.929100622513033,8.93780971152222,2.73675948178329e-123,1.68681310976164e-121
"YHR183W",-0.677143053492781,9.81196945230753,4.91414165136208e-121,2.99762640733087e-119
"YLR359W",-1.14375639401036,8.7603757160029,2.88595638961718e-118,1.74246979156784e-116
"YLR194C",-1.04209722153349,8.72850620910644,1.15055518525428e-114,6.87660104156523e-113
"YJL158C",-0.683641207155175,9.65539625883373,1.70579635999919e-114,1.00931970621152e-112
"YMR300C",-1.77838685439134,7.16319199166889,2.05453956316227e-114,1.20363471239912e-112
"YGR189C",0.707519967024286,9.73202263728406,3.42121924374095e-113,1.9846425750211e-111
"YIL121W",-2.5735155439928,6.31300976564241,3.70636929054753e-113,2.12918321283201e-111
"YHL021C",-1.38016562059204,7.87011568191329,9.72780262761197e-112,5.53455847572885e-110
"YGR161C",1.04067889504509,8.6638923522351,2.97943661030959e-110,1.67898346887637e-108
"YLR300W",-0.893376721621485,8.91875801401349,3.6831320295614e-109,2.05595209612404e-107
"YBL002W",1.21247983789525,8.21969644310544,5.0043069379735e-108,2.76733496747562e-106
"YDL182W",-1.31662171918634,8.12904723984408,1.85070320054954e-105,1.01394544793071e-103
"YJR148W",-1.27484111641452,7.70882614415803,6.7952296474774e-103,3.68874989212145e-101
"YJR145C",-0.368354462389966,11.3258489872979,4.90076923982828e-101,2.63616832655126e-99
"YMR122W-A",-0.671325878014427,9.86125427360587,1.59192203888914e-97,8.48594838207839e-96
"YDR406W",-1.52328427444339,7.19430557938473,1.69663928814208e-96,8.96340595351492e-95
"YJL012C",-1.25798780023809,8.01418195167424,2.2947935515659e-95,1.20161888890402e-93
"YPR124W",-0.970653744138718,8.31331097773985,2.31153020359265e-94,1.19976528198752e-92
"YKL062W",-1.71272837401906,6.88858068858157,6.8711450968019e-94,3.53535352502408e-92
"YHL047C",-1.52574472249393,7.47247489040848,1.2288307027557e-93,6.26809592086679e-92
"YCR021C",-2.22750014461256,6.07812977937349,1.45944569091058e-93,7.38080354967341e-92
"YHR162W",0.994069715308571,8.48832509700755,3.09295130678404e-93,1.55093160018993e-91
"YNL030W",0.620476175256381,9.76916314868687,8.46164366293076e-93,4.20735676920683e-91
"YKL060C",-0.152593744512708,14.0249299211895,1.97564994142075e-92,9.74160058615548e-91
"YOR273C",-1.31935750445644,7.52647787034032,5.81141902682571e-92,2.84183193237419e-90
"YER072W",-1.13553668257585,8.0762664862707,4.79967793193846e-91,2.32784379699015e-89
"YDL184C",0.885430409284555,9.12063131527128,1.35570416963345e-90,6.52170859489524e-89
"YGL189C",0.573092861343213,10.3729620612434,2.11566619552392e-90,1.00954813539637e-88
"YBR093C",-1.6015760655186,6.88682652742113,4.0323892719427e-90,1.9087717857668e-88
"YDR155C",-0.463562094845612,11.4111764392009,5.1591590065487e-90,2.42275744775783e-88
"YKL182W",-0.708805994416192,9.50839221233233,1.0216543751483e-89,4.7599440454744e-88
"YAL003W",-0.599949250275566,9.68456909038139,1.71491265655904e-89,7.92745171004677e-88
"YER055C",-1.04421423984234,8.41568712841854,8.71096563146321e-88,3.99556462336185e-86
"YBR212W",0.980693143618365,8.38932123867573,2.37010467816816e-84,1.07876226005546e-82
"YLR108C",2.44571351245043,6.35633164377376,6.77007859939434e-84,3.05790496737529e-82
"YGR008C",-1.01634974689522,8.10537017275567,8.96603932272463e-84,4.01909505095164e-82
"YAL044C",-1.49342306335698,7.14340960318214,1.09787483892294e-82,4.88430482850151e-81
"YER145C",0.95065762277732,8.52902136175775,1.84886497602728e-82,8.16398064414433e-81
"YBR162C",0.582827642351587,10.0296242798668,2.21644474447464e-82,9.71459522448627e-81
"YFR055W",-1.67676950506315,6.81527933351262,2.27036857531314e-82,9.87777269127048e-81
"YHR146W",1.20721974410651,7.93269073511305,2.64648517989375e-82,1.14301115397309e-80
"YHR219W",0.961600740140238,9.73141166553176,5.27545486813613e-82,2.26194684454793e-80
"YBR009C",0.729425440771841,9.19754270837416,5.98282952726064e-82,2.54679153329505e-80
"YKR039W",1.72703161891799,7.35220242964034,1.63983542511846e-81,6.93064729316137e-80
"YKL104C",0.904109718791179,8.54722684709641,3.31440301376098e-79,1.39087394556197e-77
"YFL054C",1.68555982056148,7.42211950770825,5.35810835251754e-79,2.23267092407368e-77
"YDR399W",-1.4721409873726,7.07010558222442,6.50342785369783e-79,2.6909638189042e-77
"YGR204W",-0.536094747941727,9.80846411274568,4.78759457575399e-78,1.96723591005114e-76
"YKL065C",1.05915515734454,8.0958463679052,6.41302169056513e-78,2.61695512710854e-76
"YEL044W",1.40149944203244,7.43661219009913,1.78720055910079e-77,7.24305870424616e-76
"YDR224C",0.620619350271586,9.50002315850467,4.8389503466779e-77,1.94775980961178e-75
"YOR375C",0.559953369630588,9.84538849838799,4.30428617627543e-76,1.72084198006904e-74
"YOR230W",-0.812647663412363,8.76318641880079,1.41852278777039e-75,5.6331539162667e-74
"YHR216W",-1.04329157431465,8.0829232118341,1.61989722674224e-75,6.38995459375589e-74
"YGL147C",-0.428279504919714,10.4894561228276,4.56062290645685e-75,1.78709971771558e-73
"YJR009C",0.197675263138388,13.2824009290943,5.51014466785006e-75,2.14496881576768e-73
"YLR348C",0.99067415474332,8.19127465855869,5.86084810867726e-75,2.26657766398976e-73
"YHL050C",2.24177132081143,7.16474499810576,1.33326591649031e-74,5.12268469342414e-73
"YPL163C",-1.32546061997888,7.11468580501965,3.76182364679436e-74,1.43604583987627e-72
"YKR057W",-0.534996203555072,9.83363933172038,5.23507931470497e-73,1.98563873750701e-71
"YLR332W",1.00238775896069,8.14580982796815,1.34301268888319e-72,5.06153253510945e-71
"YGR086C",0.479521069120557,10.1173180454829,1.03095294181547e-71,3.86085351691273e-70
"YDR044W",-1.15560625026038,7.48556025358325,1.19763170929566e-71,4.45684705905814e-70
"YMR189W",-1.71013511527993,6.36946106299674,1.33715167268189e-71,4.9449540295367e-70
"YMR056C",2.38382795635743,6.21221615409588,4.33758424411401e-71,1.59412956350451e-69
"YPL231W",-0.40365146347666,10.8372103862875,3.05548987657055e-70,1.11600824689308e-68
"YIL117C",1.37979829805569,7.57648627403276,4.50134190117422e-69,1.63401472572073e-67
"YBR048W",-0.496222069814361,9.91399327737997,6.73271298846174e-69,2.42911358248342e-67
"YDR516C",-0.561623964678396,10.038848180759,7.43447533478035e-69,2.66604791247851e-67
"YDR452W",0.973342137194963,8.21144736335187,2.15327776040283e-68,7.67526777608647e-67
"YGL062W",0.993504932354151,8.25716677124587,2.88741301709007e-68,1.02304328276179e-66
"YGR027C",0.484723931359891,10.3592424502513,3.41276910802043e-68,1.20198540548553e-66
"YNL134C",-1.17263568924235,7.32333714590445,6.4525098374124e-68,2.25914205372599e-66
"YBL085W",1.15971056524593,7.72413282503229,1.22771367405034e-66,4.27316577020934e-65
"YER053C",-1.16814186181159,7.31173532594801,2.43636191553304e-66,8.43038213696431e-65
"YLR155C",0.979011832868162,8.04581159592793,3.60648410235872e-66,1.22524129199707e-64
"YLR157C",0.979011823342671,8.04581159592793,3.61468336343051e-66,1.22524129199707e-64
"YLR158C",0.979011815486237,8.04581159592793,3.62145973772002e-66,1.22524129199707e-64
"YLR160C",0.979011812835404,8.04581159592793,3.62374896230333e-66,1.22524129199707e-64
"YNL217W",-1.36559398407832,7.12837335760872,1.54247063935869e-65,5.18568112107124e-64
"YHR026W",0.86218785458051,8.3340179544165,1.51807250652506e-64,5.07482204582416e-63
"YOR227W",1.10974560392585,7.71754167351395,2.10551799614592e-63,6.97120344127253e-62
"YHR094C",0.948766616847519,8.15108018892469,2.10891569374308e-63,6.97120344127253e-62
"YKL141W",1.31640904778464,7.291318001688,3.99136999504053e-63,1.31205201448082e-61
"YDR111C",1.64844455279401,6.93078521216849,4.81206272320189e-63,1.57309254879478e-61
"YEL034W",-0.445552688600579,10.0202417539707,8.0394001163665e-63,2.61368848838135e-61
"YBR230C",1.12224840744291,7.74935271808885,1.03565199524158e-61,3.34860811794777e-60
"YGR282C",0.518701039866018,10.2985235578029,1.78437620075601e-61,5.73812716297464e-60
"YGL035C",1.09443433559231,8.02995910090481,8.06548714848531e-61,2.57964797068041e-59
"YDR216W",1.63645510938908,6.94996778141615,1.7835835435834e-60,5.67390528353924e-59
"YHL020C",1.12818599678971,7.61066333922571,2.23904381108985e-60,7.08471777017039e-59
"YAL053W",0.710083323547993,9.07014502499607,7.94028358298749e-60,2.49907755109239e-58
"YLR109W",0.320580132530035,11.7639505292545,7.38030467682721e-58,2.31054300385114e-56
"YMR116C",-0.281800147899723,11.3969839038496,2.06857662295791e-57,6.4419830937063e-56
"YLR249W",-0.252398790907365,11.5979826649717,8.09293925494063e-57,2.50711631264313e-55
"YER150W",-1.57486010793869,6.7118592254865,3.10716273380414e-56,9.57556348745786e-55
"YDR074W",-0.559064260306449,9.28251584376869,3.68178262262218e-55,1.12876206103914e-53
"YKL117W",0.501911801352825,9.55211234922931,1.70419944410388e-53,5.19780830451684e-52
"YLR438W",-1.94906077524176,6.10850336863685,2.38428723365263e-53,7.23478336488338e-52
"YDR277C",-1.21296699419079,7.03763359391794,5.92158202284908e-53,1.78765310353051e-51
"YGR244C",0.734270696573972,8.47475946158415,9.99675024972548e-53,3.00257721967643e-51
"YDL137W",0.713767935387386,8.65972048840031,1.79344044755566e-52,5.3594884485792e-51
"YER138C",-2.61669942060861,9.68219720729694,2.31044657652026e-52,6.86980522274894e-51
"YMR251W-A",-0.79855606963975,8.27311309770726,2.6273030517414e-52,7.77287607857694e-51
"YHR143W",-0.691502468873235,8.69606658043868,1.22949674698985e-51,3.61936927957162e-50
"YLR264W",-1.42932163170772,6.86352627204316,1.27828295576513e-51,3.74435655904073e-50
"YDR011W",-0.913250458804745,7.67600262863991,1.82975757553116e-51,5.33333772138811e-50
"YBR298C",1.02711611924221,7.60284512052542,5.6216017060284e-51,1.63054006345932e-49
"YJL077C",2.16366087913949,5.8420394622255,2.60725321669659e-50,7.52542306497254e-49
"YLR192C",0.692942193172361,8.56511801050055,3.55932161282689e-50,1.02235465937363e-48
"YPL232W",0.918935445083294,8.20933513778242,5.02335408906322e-50,1.43590271231822e-48
"YDR343C",-1.60389270132482,8.90337042636249,5.11584118772006e-50,1.4553092455644e-48
"YGR159C",-0.690244432719988,8.82102879134257,5.59703384928497e-50,1.58457652087173e-48
"YBR218C",-0.657936382656342,8.73847282762748,1.50834507613071e-49,4.2499418168883e-48
"YKL109W",-1.2040272911081,7.05674158093511,2.28588323661022e-49,6.41022327536621e-48
"YDR233C",0.673629500456418,8.62482953251084,4.08856760265636e-49,1.14113464645838e-47
"YNL327W",-0.77842685424265,8.16860159678287,9.24454125169355e-48,2.5680727974775e-46
"YDL055C",-0.331142288519625,10.4969168858647,1.27475314061583e-47,3.52463286589901e-46
"YLR256W",-0.691211809614899,8.99478571279538,1.85273812269772e-47,5.09890766139646e-46
"YPL134C",1.58941428241712,6.52152439903883,2.01951884648939e-47,5.53217269198042e-46
"YBR031W",-0.40572507628778,11.3357257203621,4.49314756419546e-47,1.22515917683615e-45
"YOR382W",-0.485881193431084,9.38258707851052,6.81224121223451e-47,1.84899225930237e-45
"YOR127W",1.1526681531564,7.15340393173231,2.42205942381956e-46,6.5439842971417e-45
"YML001W",1.09448340741563,7.27824213640359,2.66774015307866e-46,7.1750084026211e-45
"YOR261C",0.906116144295621,7.82357463741078,3.10583473539704e-46,8.31548603137751e-45
"YNR050C",-0.931126906557963,7.40860224865369,4.26972473016383e-46,1.13801627154862e-44
"YLR250W",1.08329963042213,7.32718899806553,5.65407482297191e-46,1.50023142275896e-44
"YLR079W",1.31769503465457,7.07128410636474,9.55505140630606e-46,2.52398389156754e-44
"YJR010W",1.60315464473061,6.69510800280915,1.73168092639649e-45,4.55393601843913e-44
"YER073W",-0.820045857198997,8.71836764434016,2.00222441657978e-45,5.24210702340822e-44
"YKR058W",-0.96680239400512,7.27842237279931,2.62443973008815e-45,6.84088541098308e-44
"YGL030W",-0.273468037607026,11.0062665424881,2.74852569837224e-45,7.1329063847669e-44
"YGR138C",-1.75367501961303,6.32698457676602,3.18791318882683e-45,8.23706652327002e-44
"YDR309C",1.46169994604873,6.76602992119775,4.33373542555891e-45,1.11490054404487e-43
"YNL079C",0.561188292990443,9.01814522734931,7.00457035265548e-45,1.7942009860027e-43
"YER133W",0.91826019217505,7.79801162783548,8.78016766413468e-45,2.23932120985711e-43
"YPR008W",1.02158389695313,7.58785479398778,1.08855040129277e-44,2.76435739246752e-43
"YKL029C",-1.00557456282926,7.44062559332055,1.09813262429761e-44,2.77677381964485e-43
"YDR086C",1.09167612248607,7.39864845404287,7.61811551537101e-44,1.91814423423193e-42
"YHR054C",4.34315161690212,4.70556124060975,1.09771954240245e-43,2.75220615779463e-42
"YNL300W",-1.51082613396551,6.19248245979013,2.08834775650298e-43,5.21382011613002e-42
"YDR335W",0.817830177544099,7.89774480164266,5.05404337611637e-43,1.25650313682691e-41
"YCL064C",-0.677083296569625,8.22004993574537,6.82230453185464e-43,1.68901991276083e-41
"YKL032C",0.762065218893146,8.27227973294782,1.40196131600962e-42,3.45641879451205e-41
"YPR080W",-0.266630853593128,13.2690393762893,1.58863895242909e-42,3.90040526204272e-41
"YLR314C",0.737513968446063,8.18153301210864,1.89572131093553e-42,4.63511694082874e-41
"YDR054C",0.815030963703865,7.87613201739083,2.66449835101414e-42,6.48799865965049e-41
"YLR056W",-0.64903621673618,8.51403742402298,3.42945244651866e-42,8.31642218280776e-41
"YGL123W",-0.275734028693894,11.4298018376113,5.90573017376842e-42,1.42629409951787e-40
"YBR070C",2.01499825356583,5.73373217141328,7.91204842277497e-42,1.90307278526665e-40
"YJL078C",-0.678748904010591,8.1758632419074,1.20529352342961e-41,2.88733675228057e-40
"YOL143C",-0.66470664722989,8.29990468462432,1.75757318639131e-41,4.19337118704733e-40
"YML100W",-0.502308367119404,9.62220793657257,3.04899753956543e-41,7.24534877173038e-40
"YMR031C",0.65009413038156,8.54634222616101,3.7854065241785e-41,8.95930016142568e-40
"YOL039W",0.465732091952273,9.57369313133258,4.56615031918468e-41,1.07641081428748e-39
"YBR054W",-1.8624285600364,5.334979351903,5.01758878399216e-41,1.178137810908e-39
"YDL173W",0.853987941350712,7.79578078463229,7.15958389964708e-41,1.67443707249849e-39
"YIR037W",0.937697859855539,7.48837889436141,8.03250947120798e-41,1.87119521815502e-39
"YOL105C",1.3195251398452,6.87052514725168,1.01795967533326e-40,2.36206564664585e-39
"YKL163W",-2.11430348809812,5.04155187258183,1.03585569492059e-40,2.39420240111137e-39
"YOR348C",2.43431376319256,5.32927696473712,1.0426558362362e-40,2.40054263930335e-39
"YDR210C-C",8.90917682534517,5.07501853638136,2.51936962899165e-40,5.77794964912542e-39
"YMR280C",1.49394955551966,6.43689727966248,3.38301842576848e-40,7.72869499045254e-39
"YDL007W",0.600532071289152,8.63974776507236,5.1264007638794e-40,1.16665051230286e-38
"YGL028C",-1.28890049161713,6.26788540451548,7.41889487036586e-40,1.68190041946187e-38
"YJR016C",-0.479383802414395,9.59720324881168,1.12089810536816e-39,2.53143285857382e-38
"YLR150W",-0.275154785671001,10.9041127238919,1.49931945447929e-39,3.37318373085701e-38
"YGL080W",1.498265549467,6.35244680274861,1.84241005742746e-39,4.12937132946904e-38
"YDR365W-A",8.85951378395626,4.94764138200983,1.93310695131796e-39,4.26798277274193e-38
"YER137C-A",8.85951378395626,4.94764138200983,1.93310695131796e-39,4.26798277274193e-38
"YLR157C-A",8.85951378395626,4.94764138200983,1.93310695131796e-39,4.26798277274193e-38
"YPL257W-A",8.85951378395626,4.94764138200983,1.93310695131796e-39,4.26798277274193e-38
"YDR134C",-0.465703889859561,9.34246908453536,3.04394280852053e-39,6.69014765906713e-38
"YEL002C",0.799410569656627,7.83519752217877,3.05279680234599e-39,6.69014765906713e-38
"YPR148C",0.868526730941478,7.68190707811167,3.06941933685643e-39,6.70175432331347e-38
"YER004W",0.805017238784553,7.92166902868177,4.09285352401953e-39,8.90346114030278e-38
"YLL023C",0.910410249555394,7.51701263792456,4.32218753896534e-39,9.36790610551571e-38
"YPL015C",1.12519071774922,7.08132269153175,4.78046327067552e-39,1.0323358092185e-37
"YGR243W",1.31890632444023,6.80412217740378,5.14671868831216e-39,1.10738670831793e-37
"YOR142W",0.707200368584281,8.14171973012972,6.08951228169196e-39,1.30549435401345e-37
"YGR155W",-0.519278726881601,8.83321253722908,7.64932183835285e-39,1.63397246633696e-37
"YER063W",1.13393891566402,7.11971450208897,8.3914859742173e-39,1.78605836364906e-37
"YOR298C-A",-0.597658939319571,8.41366424138523,9.91162155283587e-39,2.10204533075734e-37
"YOR197W",-0.688393815587717,7.98769152951898,1.30384706943924e-38,2.75530825352571e-37
"YOR063W",-0.184587702959815,12.0733745903475,1.63179551009242e-38,3.43606193352913e-37
"YMR272C",-0.906858278452456,7.21600466030376,1.65640481864445e-38,3.47551323117703e-37
"YOL030W",0.60276444784664,8.53919665709428,2.36750843788133e-38,4.95001675863739e-37
"YER042W",1.60096383165783,6.17110989305996,3.5720782866706e-38,7.44224902191194e-37
"YCR002C",1.06425277374667,7.11404749186267,6.04760453240028e-38,1.2555675795864e-36
